name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
n_6654_wind,wind,6654,10000,0,0,0,0,0,0,0,0
n_6682_wind,wind,6682,10000,0,0,0,0,0,0,0,0
n_6699_wind,wind,6699,10000,0,0,0,0,0,0,0,0
n_6953_wind,wind,6953,10000,0,0,0,0,0,0,0,0
n_6956_wind,wind,6956,10000,0,0,0,0,0,0,0,0
n_6964_wind,wind,6964,10000,0,0,0,0,0,0,0,0
n_6972_wind,wind,6972,10000,0,0,0,0,0,0,0,0
n_6977_wind,wind,6977,10000,0,0,0,0,0,0,0,0
n_6984_wind,wind,6984,10000,0,0,0,0,0,0,0,0
n_6986_wind,wind,6986,10000,0,0,0,0,0,0,0,0
n_7011_wind,wind,7011,10000,0,0,0,0,0,0,0,0
n_7014_wind,wind,7014,10000,0,0,0,0,0,0,0,0
n_7031_wind,wind,7031,10000,0,0,0,0,0,0,0,0
n_7041_wind,wind,7041,10000,0,0,0,0,0,0,0,0
n_7069_wind,wind,7069,10000,0,0,0,0,0,0,0,0
n_7555_wind,wind,7555,10000,0,0,0,0,0,0,0,0
n_7557_wind,wind,7557,10000,0,0,0,0,0,0,0,0
n_7559_wind,wind,7559,10000,0,0,0,0,0,0,0,0
n_7797_wind,wind,7797,10000,0,0,0,0,0,0,0,0
n_8318_wind,wind,8318,10000,0,0,0,0,0,0,0,0
n_9859_wind,wind,9859,10000,0,0,0,0,0,0,0,0
n_9893_wind,wind,9893,10000,0,0,0,0,0,0,0,0
n_9939_wind,wind,9939,10000,0,0,0,0,0,0,0,0
n_9971_wind,wind,9971,10000,0,0,0,0,0,0,0,0
n_9986_wind,wind,9986,10000,0,0,0,0,0,0,0,0
n_10123_wind,wind,10123,10000,0,0,0,0,0,0,0,0
n_28951_wind,wind,28951,10000,0,0,0,0,0,0,0,0
n_4452_wind,wind,4452,10000,0,0,0,0,0,0,0,0
n_6690_wind,wind,6690,10000,0,0,0,0,0,0,0,0
n_9864_wind,wind,9864,10000,0,0,0,0,0,0,0,0
n_9908_wind,wind,9908,10000,0,0,0,0,0,0,0,0
