line,reactance,limit
n_4484_n_4496,3.896575169,1040.775574
n_18865_n_28766,0.299601857,5529.187176
n_14503_n_28300,0.156094851,2624.620514
n_12430_n_25047,0.582212879,3587.761002
n_9877_n_23790,4.159320468,997.4891737
n_7049_n_26833,1.394727344,630.8119888
n_6384_n_28635,0.176864125,2419.630253
n_15512_n_11742,2.184273308,471.057193
n_4477_n_29803,0.358495735,4919.519453
n_9970_n_9983,2.160947204,1527.701188
n_14322_n_15629,0.880544515,850.9996396
n_6974_n_6980,0.118821199,3134.776158
n_9413_n_28669,9.182952618,595.64878
n_23812_n_30400,3.28977636,1162.027623
n_14577_n_21560,1.782752003,537.6532628
n_1754_n_22541,12.44132269,488.8027439
n_6955_n_28704,1.368643539,2056.680088
n_9418_n_9419,0.376753476,1478.93539
n_6706_n_23814,4.669495934,925.117702
n_9440_n_23586,0.387423125,4677.168066
n_14015_n_14021,0.300108224,1714.962278
n_6922_n_10051,4.0404399,1016.498425
n_9893_n_23802,0.037192037,21504.47456
n_6692_n_18710,0.471025958,1278.822566
n_18688_n_30525,0.045189323,18943.64021
n_3_n_28310,2.142498047,477.0163665
n_6671_n_22544,0.091460498,11970.95262
n_6891_n_22779,0.555610424,3698.675591
n_9831_n_28668,0.766205602,3000.426253
n_18865_n_22779,8.056389072,648.6259819
n_11744_n_11747,1.456424674,613.2844835
n_9830_n_28993,1.529854719,1912.865737
n_13964_n_14006,0.801526079,904.715619
n_26271_n_26272,0.30521214,1696.237689
n_9859_n_28766,0.802960018,2910.288343
n_9942_n_30065,1.132727187,2326.248876
n_30520_n_30521,0.763515908,3007.302987
n_1517_n_20897,0.228335155,6598.737944
n_8320_n_8324,3.535575093,1108.77713
n_7557_n_29872,1.883063246,1670.916347
n_1834_n_6177,1.940656369,9054.039525
n_7065_n_29002,2.163010578,1526.752309
n_23845_n_30523,0.538778025,3773.496352
n_322_n_20895,2.669067518,1331.470929
n_16404_n_18693,3.272412719,362.0623518
n_6966_n_29661,1.571316276,583.7069624
n_10025_n_14003,1.116312923,729.2120354
n_2415_n_23859,0.418447822,4448.394228
n_18303_n_28842,12.94975245,147.8700666
n_15775_n_15776,0.076485828,4175.911331
n_998_n_9900,0.834506258,2838.187572
n_23795_n_9890,0.250093626,6219.091609
