g,t,var,multiplier
PP_3291_GT4,48,DT_Obl,32.0
PP_3291_GT4,48,PowerGenerated,35.0
PP_3291_GT4,48,UT_Obl,0.0783588009397268
PP_3291_GT4,48,UnitOn,30.0
PP_3320_1,24,DT_Obl,32.0
PP_3320_1,24,PowerGenerated,35.0
PP_3320_1,24,UT_Obl,0.0783588009397268
PP_3320_1,24,UnitOn,30.0
PP_3320_1,48,DT_Obl,32.0
PP_3320_1,48,PowerGenerated,-23.144839093083014
PP_3320_1,48,UT_Obl,0.4199653823650574
PP_3320_1,48,UnitOn,11.220708976853965
PP_3320_2,24,DT_Obl,32.0
PP_3320_2,24,PowerGenerated,35.0
PP_3320_2,24,UT_Obl,0.0783588009397268
PP_3320_2,24,UnitOn,30.0
PP_3320_2,48,DT_Obl,32.0
PP_3320_2,48,PowerGenerated,-23.38251255312138
PP_3320_2,48,UT_Obl,0.4199653823650574
PP_3320_2,48,UnitOn,11.220708976853965
PP_3320_3,24,DT_Obl,32.0
PP_3320_3,24,PowerGenerated,35.0
PP_3320_3,24,UT_Obl,0.0783588009397268
PP_3320_3,24,UnitOn,30.0
PP_3320_3,48,DT_Obl,32.0
PP_3320_3,48,PowerGenerated,-70.06537122479364
PP_3320_3,48,UT_Obl,0.4199653823650574
PP_3320_3,48,UnitOn,11.220708976853965
PP_3320_4,24,DT_Obl,32.0
PP_3320_4,24,PowerGenerated,35.0
PP_3320_4,24,UT_Obl,0.0783588009397268
PP_3320_4,24,UnitOn,30.0
PP_3320_4,48,DT_Obl,32.0
PP_3320_4,48,PowerGenerated,19.01794770965321
PP_3320_4,48,UT_Obl,0.0783588009397268
PP_3320_4,48,UnitOn,30.0
PP_3320_5,24,DT_Obl,32.0
PP_3320_5,24,PowerGenerated,35.0
PP_3320_5,24,UT_Obl,0.0783588009397268
PP_3320_5,24,UnitOn,30.0
PP_3320_5,48,DT_Obl,32.0
PP_3320_5,48,PowerGenerated,9.391008201795682
PP_3320_5,48,UT_Obl,0.2157439187950393
PP_3320_5,48,UnitOn,-0.6943896012708624
PP_50555_GEN1,24,DT_Obl,32.0
PP_50555_GEN1,24,PowerGenerated,34.99999999999569
PP_50555_GEN1,24,UT_Obl,0.0783588009397268
